MeterType,the_geom,MeterNo,LONG,LAT,Status,Borough
Strada,POINT (-73.86092047598994 40.835990475356084),2303011,-73.860920476,40.8359904754,Active,Bronx
Strada,POINT (-73.86068149132092 40.83679305378731),2303012,-73.8606814913,40.8367930538,Active,Bronx
Strada,POINT (-73.86056377846106 40.837051694845435),2303013,-73.8605637785,40.8370516948,Active,Bronx
Strada,POINT (-73.86098748090643 40.83677531764701),2303014,-73.8609874809,40.8367753176,Active,Bronx
Strada,POINT (-73.86115708845865 40.83623549515723),2303015,-73.8611570885,40.8362354952,Active,Bronx
Strada,POINT (-73.86123109504378 40.83586428493595),2303016,-73.861231095,40.8358642849,Active,Bronx
Strada,POINT (-73.86109742455946 40.837626278109106),2303017,-73.8610974246,40.8376262781,Active,Bronx
Strada,POINT (-73.86143021696115 40.837231371124524),2303018,-73.861430217,40.8372313711,Active,Bronx
Strada,POINT (-73.8616007576757 40.836827711173655),2303019,-73.8616007577,40.8368277112,Active,Bronx
Strada,POINT (-73.86120680475736 40.837169838230544),2303020,-73.8612068048,40.8371698382,Active,Bronx
Strada,POINT (-73.86138794264933 40.83679073522832),2303021,-73.8613879426,40.8367907352,Active,Bronx
Strada,POINT (-73.8624179678362 40.836590482799814),2303022,-73.8624179678,40.8365904828,Active,Bronx
Strada,POINT (-73.86219332510298 40.836397242157595),2303023,-73.8621933251,40.8363972422,Active,Bronx
Strada,POINT (-73.862151182252 40.835942476074216),2303024,-73.8621511823,40.8359424761,Active,Bronx
Strada,POINT (-73.85582000526213 40.84820485653396),2323001,-73.8558200053,40.8482048565,Active,Bronx
Strada,POINT (-73.85649709732861 40.847900925299975),2323002,-73.8564970973,40.8479009253,Active,Bronx
Strada,POINT (-73.85673666068855 40.84798054031129),2323003,-73.8567366607,40.8479805403,Active,Bronx
Strada,POINT (-73.85591325847784 40.84835158324319),2323004,-73.8559132585,40.8483515832,Active,Bronx
Strada,POINT (-73.9572421637034 40.61046861429209),3053036,-73.9572421637,40.6104686143,Active,Brooklyn
Strada,POINT (-73.9582833216306 40.60905603452408),3053038,-73.9582833216,40.6090560345,Active,Brooklyn
Strada,POINT (-73.95842645546843 40.609232322955656),3053039,-73.9584264555,40.609232323,Active,Brooklyn
Strada,POINT (-73.95870253204018 40.60864062671877),3053040,-73.958702532,40.6086406267,Active,Brooklyn
Strada,POINT (-73.95915956294968 40.6086935146603),3053041,-73.9591595629,40.6086935147,Active,Brooklyn
Strada,POINT (-73.95943890991002 40.60833290694797),3053042,-73.9594389099,40.6083329069,Active,Brooklyn
Strada,POINT (-73.9600557106238 40.60842160551152),3053043,-73.9600557106,40.6084216055,Active,Brooklyn
Strada,POINT (-73.96016690709655 40.60843311494597),3053044,-73.9601669071,40.6084331149,Active,Brooklyn
Strada,POINT (-73.96095582063647 40.60818085056635),3053045,-73.9609558206,40.6081808506,Active,Brooklyn
Strada,POINT (-73.96124105329373 40.607982603612555),3053046,-73.9612410533,40.6079826036,Active,Brooklyn
Strada,POINT (-73.9618072857 40.60766689646716),3053047,-73.9618072857,40.6076668965,Active,Brooklyn
Strada,POINT (-73.96140719163363 40.607847265186315),3053048,-73.9614071916,40.6078472652,Active,Brooklyn
Strada,POINT (-73.96140475948083 40.607578260536116),3053049,-73.9614047595,40.6075782605,Active,Brooklyn
Strada,POINT (-73.96108278817901 40.60755885829153),3053050,-73.9610827882,40.6075588583,Active,Brooklyn
Strada,POINT (-73.96092550821109 40.607344946335346),3053051,-73.9609255082,40.6073449463,Active,Brooklyn
Strada,POINT (-73.96082864378164 40.607433743526194),3053052,-73.9608286438,40.6074337435,Active,Brooklyn
Strada,POINT (-73.95999603792083 40.60751034689592),3053053,-73.9599960379,40.6075103469,Active,Brooklyn
Strada,POINT (-73.95992341058208 40.60771979374538),3053054,-73.9599234106,40.6077197937,Active,Brooklyn
Strada,POINT (-73.95949649017372 40.60817695150377),3053055,-73.9594964902,40.6081769515,Active,Brooklyn
Strada,POINT (-73.95913647605552 40.60797867328923),3053056,-73.9591364761,40.6079786733,Active,Brooklyn
Strada,POINT (-73.95906731866565 40.60761885695297),3053057,-73.9590673187,40.607618857,Active,Brooklyn
Strada,POINT (-73.95904342204308 40.608064348217134),3053058,-73.959043422,40.6080643482,Active,Brooklyn
