name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
James S.T. Stranahan,"Stranahan, James S.T.",1509,Y,Brooklyn,Prospect Park,B073,0,39,Entrance between East Drive and Flatbush Avenue,Y,"June 6, 1891",ca. 1891,Figure on pedestal,"Statue H: 7'8½"" W: 2'6¾"" D: 2' 9 1/8""; base 2'7"" x 2'7""; pedestal H: 7'4"" W: 6'3"" D: 5'8""; two-step broad base 14'8"" square; total H: 8'5""",,"Bronze (green patina), Knoxville marble (rough), pink granite (polished)",E. Gruet,,Frederick William MacMonnies,Stanford White,Citizens of Brooklyn,,,,,Y,,,"$10,000","Public Servant, Politcal Figure",,992699.0405046344,184158.36040765047
Walter J. Wetzel Memorial,,1699,Y,Queens,,,0,0,Between 157th Street and 156 Avenue,M,,,Tablet and boulder & 3 other tablets,4'h x 4'w x 5'd,,"Granite, bronze",,,,,Gift,,,,,,,,,"Vietnam War, War Memorial",,,
"Ryan, Corporal George P.",,1388,Y,the Bronx,George P. Ryan Square,X043,1,17,143 St. and Morris Avenue,N,1925,,"Tablet on boulder - plaque gone, 1/12/72","1'4""h x 2'w",,"Bronze, natural boulder",,,,,"George Ryan #891, Amer. Legion",,,,,,,,,"War Memorial, World War I",,,
3000 A.D. Diffusion Piece,,2109,Y,Manhattan,,M099,12,10,Haven Avenue between West 173rd Street and West 176th Street,Y,1974,,Monolith of eight magnesium and aluminum plates with steel bolts set on steel base set in concrete pad with plaque,H: 35' W: 3' D: 1',CMCP,"Magnesium, aluminum, steel, concrete",,,Tery Fugate-Wilcox,,Public Arts Council and Neighborhood Action Council,,,,,Y,,,,,,1000286.736943394,247929.5612770617
James Duane,"Duane, James",413,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, eighth from left",Y,1906,ca. 1906,standing figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"Flagstaff, P.S. 9",,492,N,Brooklyn,,,8,35,PUBLIC SCHOOL 9; Vanderbilt Ave. and Sterling Place,Y,1921,,,,,limestone and bronze,,,Robert G. Eberhard,,gift of school,,,,,,,,,,,,
Poetry,Poetry,1196,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",Y,1903,ca. 1903,half-reclining male figure (heroic scale),,,Westerly granite,,,Henry Kirke Bush-Brown,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Fallen Angels,,462,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,Eastern Parkway near Washington Avenue,Y,1897,,Group on pedestal,,,,,,Salvatore Albano,,Gift of A. Augustus Healy,,,,,,,,,,,,
"Memorial Grove, Poe Park",,1015,Y,the Bronx,Poe Park,X040,7,15,"Grand Concourse, Kingsbridge Road, 192 and 194th Streets",M,,,"10 tree markers, recessed plinths",,,"granite, cststn, concr, marb, brz",,,,,,,,,,,,,,"World War II, War Memorial",,,
East River Park Anchor,East River Park Anchor,433,Y,Manhattan,East River Park,M144,3,1,Near Grand Street,N,ca. 1970,ca. 1850 (?),"Anchor on base, plaque",,,Anchor--iron; Base--concrete; Plaque--bronze (?),,,,,Downtown Lower Manhattan Association; F. & M. Schaefer Brewing Company,,,,,N,,,,,,990840.7906122208,198982.23955248296
"powers, robert grey",,1218,N,Brooklyn,,,1,34,"P.S. 54; sanford st, willoughby and pulaski st",Y,1926,,tablet,,,bronze,,,maxfield keck,,teachers of school,,,,,,,,,,,,
public school #3,,1262,N,Manhattan,,,0,0,HUDSON AND GROVE STS.,Y,,,tablet,,,bronze,j. and r. lamb,,,,"gift, $300.",,,,,,,,,,,,
Delury Plaza,delury plaza,382,N,Manhattan,,,1,1,LOWER MANHATTAN; Intersection of Fulton and Gold Streets,Y,,,,,,,,,,,,,,,,,,,,,,,
Rockaway Mosaic,Rockaway Mosaic,1361,Y,Queens,Rockaway Park,Q050,14,32,North and south sides of Ocean Promenade at Beach 116th Street entrance,Y,"October 22, 1981",ca. 1981,Three-wall mosaic with plaque on west wall,"First wall 3'4"" x 3'; Second wall 1'8"" x 3'; third wall 1'8"" x 2'2""",,"145,000 Italian glass and ceramic tiles set into concrete",,Cityarts Workshop Mosaic Designs,Ann Evans; Mary Nell Hawke,,United States Department of Housing and Urban Development,,,,,N,,,"$30,000",,,1029812.472511217,149796.38680888712
John Ericsson,"Ericsson, John",454,Y,Manhattan,Battery Park,M005,1,1,Perimeter of park on State Street across from Bridge Street,Y,"August 1, 1903",1903,"Figure (heroic scale) on integral plinth, pedestal with four recessed relief plaques","Figure H: 8'7""; Base H: 7'11"" W: 8' D: 8'; Each plaque H: 1' W: 2'3½""",,Figure--bronze; Pedestal--black diamond granite (polished); Plaques--bronze,"Gorham Manufacturing and Founders (statue); Roman Bronze Works, Inc. (plaques)",,Jonathan Scott Hartley,Frank E. Wallis (new pedestal),State of New York,,,,,Y,,,"$10,000","Civil War, Scientist/Inventor, War Memorial",,980218.5569354743,195631.4696792215
Civic Virtue,Civic Virtue,343,N,Queens,,QZ23,9,29,Beside Queens Borough Hall; Queens Boulevard and Union Turnpike,Y,"1922, 1941",ca. 1922,Male figure (heroic scale) standing over two prone female semi-figures on base inside fountain basin with four dolphin-head spouts below,"Total H: 22'10"" W: 5'7""; Basin diameter: 38'",,White Georgia marble,,Piccirilli Brothers,Frederick William MacMonnies,Thomas Hastings,Bequest of Angelina Crane,,,,,N,,,,Allegorical,,1031435.7920992225,199525.6961427331
Robert F. Wagner Tree Marker,"Wagner, Robert Ferdinand, jr.",1641,N,Manhattan,,M060C,8,4,Madison Avenue between East 60th and East 61st Streets,Y,"June 8, 1961",1960,Plaque set in ground,"H: 11"" x W: 1'4""",,Bronze,,,,,Albert and Mary Lasker Foundation,,,,,N,,,,Politcal Figure,,992325.4815404713,217832.79962031543
The Immigrants,"Immigrants, The",765,Y,Manhattan,Battery Park,M005,1,1,South of Castle Clinton,Y,"May 4, 1983; Rededicated August 1, 2005",1973,Group (heroic scale) on base,"Group H: 10' W: 5' D: 14'2½""; Base H: 1'1"" W: 8' D: 17'7""",,"Bronze, Minnesota Rideau Red granite",Modern Art Foundry,A. Ottavino Corp. (base),Luis Sanguino,"Frank Luzi, P.E./P.C.",Samuel and May Rudin; Rudin Management Company,,,,,Y,,,,Immigration,,979708.6288214773,195437.3719703108
Rose and Crown Tavern,,1379,Y,Staten Island,,Z004B,2,50,"Richmond Rd., New Dorp Lane",Y,c. 1921,,Tablet on boulder,"Tablet H: 18"" W: 22""; Boulder H: 4' W: 3' D: 3'",,"Bronze, natural boulder","Eagle-Heath Bronze Corp., Mt. Vernon, NY",,,,Richmond County D.A.R.,,,General William Howe,,Y,,,,"Revolutionary War, War Memorial",,950928.9849373102,149033.54745531082
harriman panels,,683,N,Manhattan,,,0,0,,M,,,,,,,,,,,,,,,,,,,,,,,
Civic Pride,,257,N,Manhattan,,,1,1,"MUNICIPAL BUILDING; Chambers and Center Streets, arch south side",Y,1912,,panel relief,,,Maine granite,,,Adolph Alexander Weinman,,purchase,,,,,,,,,Sculpture,,,
Theodore Roosevelt,,1375,Y,Manhattan,Theodore Roosevelt Park,M053,7,6,"American Museum of Natural History, CPW and 79th St",Y,1940,,Equestrian group,,,"Bronze, Conway green granite",,,James Earle Fraser,John Russell Pope,Gift of the State of New York,,,,,Y,,,,,,991783.8274400532,223761.0016746372
Poetry,,1197,O,Manhattan,Bryant Park,M008,5,3,New York Public Library; 42nd St. and 5th Avenue,Y,1915,,statue,,,,,,Paul Wayland Bartlett,,purchase  $4200.,,,,,,,,,,,,
Electricity,Electricity,443,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, second from left",Y,1905,ca. 1905,female figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Netherland Monument,Netherland Memorial,1092,Y,Manhattan,Battery Park,M005,1,1,Northeast entrance near intersection of State Street and Battery Place,Y,"December 6, 1926",1926,Sculpted flagstaff pedestal,"Total H: 12'; Top W: 2'6"" D: 2'6""; Bottom W: 7' D: 7'",CPF Endowment,"Bencha granite, bronze",,,H.A. Van den Eyden,,People of the Netherlands,,,,,Y,,,,Colonial,,980204.185245052,195909.0914993137
"loomis, alfred lebbens",,937,N,Manhattan,,,6,4,BELLEVUE HOSPITAL; foot of e. 26th st.,Y,,,tablet,,,,,,,,gift,,,,,,,,,,,,
seaman's institute,,1421,Y,Manhattan,,,1,1,SOUTH ST. & COENTIES SLIP; lighthouse moved to south street seaport,N,"March, 1913",,tablet,,,bronze,,,,,seaman's inst/ publ. subscrptn,,,,,,,,,,,,
Large Coqui,,2078,Y,Manhattan,,M116,3,1,Houston Street and Essex Street; northwest corner of playground.,Y,"Oct. 19, 2007",2004,Figural sculpture of a mother and baby coqui frog,"40"" x 76"" x 88""",,Bronze,"Beacon Fine Art Foundry, Beacon, NY","Insun Kim, Beacon Fine Art Foundry, Beacon, NY",Tom Otterness,,Tom Otterness,,,,,Y,10/11/2007,,"$300,000",,,988072.3033670485,202306.05409905314
Erasmus Hall High School,,448,N,Brooklyn,,,14,40,ERASMUS HALL HIGH SCHOOL; Flatbush and Church Avenues,Y,1930,,tablet panel,,,carved oak,,,Adam Dobowski,,gift,,,,,,,,,,,,
Sugar House Prison Window,,1519,N,Manhattan,,,1,1,MALL BETWN POLICE HQ&MUN BLDG; centre st.,Y,"1968, orig. 1763",,artifact window in contemporary frame,,,"brick concrete, holland brick and",,,"stone work, iron bars, brnz pl",,purchase,,,,,,,,,,,,
Norwegian Veterans Monument,Norwegian Maritime Monument,1123,Y,Manhattan,Battery Park,M005,1,1,Northwest of Castle Clinton,Y,"October 21, 1982",ca. 1982,"Small boulder with incised anchor motif, atop large inscribed boulder, inscribed marker","Total H: 6' W: 12'; Marker front H: 4"" Rear H: 1'2"" W: 1'8"" D: 1'4""",CPF Endowment,Norwegian coastal boulders; marker--pink granite,,A. Ottavino Corp.,,,Norwegian war veterans,Y,"$6,400 contributed by Norwegian war veterans to maintenance endowment with City Parks Foundation",,,Y,,,,"World War II, War Memorial",,979444.7182600498,195681.15954047441
Battery Park Cannon,Battery Park Cannon,88,Y,Manhattan,Battery Park,M005,1,1,Perimeter of park on State Street between Bridge and Pearl Streets,Y,1914,ca. 1914,"Cannon on base, plaque","H: 2'9"" W: 4' D: 1'2""",,Cannon--iron; base--granite; plaque--aluminum,,,,J.V. & R.V. Lamb,William Henry Mairs; Children of the City History Club,,,Revolutionary War Cannon,,Y,,,,"War Memorial, Revolutionary War",,980226.0487183928,195666.44434681535
Sunset Park Memorial,Sunset Park Memorial,1529,Y,Brooklyn,Sunset Park,B087,7,38,,N,"November, 1927",1927,plaque on boulder at the head of a flight of steps,total h 4',,"bronze, granite",,,Charles W. Tandy,Dieges & Christ (?),"$1, 500",,,,,,,,,"War Memorial, World War I",,,
public school #114,,1244,N,Brooklyn,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
stanford bust,,1496,N,Manhattan,,,0,0,PALO ALTO CALIFORNIA; stanford university -1942,M,,,,,,,,,,,,,,,,,,,,,,,
"southerland, benjamin delamater",,1473,N,Manhattan,,,2,3,P.S. #3; hudson and grove Streets,Y,1917,,tablet,,,bronze,,,Charles Keck,,gift. $1000.,,,,,,,,,,,,
Battery Park Cannon,Battery Park Cannon,88,Y,Manhattan,Battery Park,M005,1,1,Perimeter of park on State Street between Bridge and Pearl Streets,Y,1914,ca. 1914,"Cannon on base, plaque","H: 2'9"" W: 4' D: 1'2""",,Cannon--iron; base--granite; plaque--aluminum,,,,J.V. & R.V. Lamb,William Henry Mairs; Children of the City History Club,,,Revolutionary War Cannon,,Y,,,,"War Memorial, Revolutionary War",,980226.0487183928,195666.44434681535
